ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/core/handlers/base.py:345(make_view_atomic)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:31(_reset_dicts)
9,0.000,0.000,0.000,0.000,{method 'get' of 'dict' objects}
32,0.000,0.000,0.000,0.000,{method 'bit_length' of 'int' objects}
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/contrib/messages/context_processors.py:5(messages)
9,0.000,0.000,0.000,0.000,{method 'rstrip' of 'bytes' objects}
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/_collections_abc.py:657(get)
10,0.000,0.000,0.000,0.000,{built-in method sys.exc_info}
3,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/datastructures.py:308(__getitem__)
2,0.000,0.000,0.000,0.000,{method 'isOpened' of 'cv2.VideoCapture' objects}
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/urllib/parse.py:495(urlunsplit)
7,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:62(__setitem__)
7,0.000,0.000,0.000,0.000,{method 'update' of 'dict' objects}
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader_tags.py:26(pop)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:198(__getitem__)
33,0.000,0.000,0.000,0.000,{method '__exit__' of '_thread.lock' objects}
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/utils/functional.py:286(__init__)
9,0.000,0.000,0.000,0.000,{method 'decode' of 'bytes' objects}
18,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_instancecheck}
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:195(get)
6,0.000,0.000,0.000,0.000,{method 'symmetric_difference' of 'set' objects}
6,0.000,0.000,0.000,0.000,{method 'difference' of 'set' objects}
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader_tags.py:15(__init__)
3,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
15,0.000,0.000,0.000,0.000,{built-in method builtins.callable}
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loaders/cached.py:87()
8,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/defaulttags.py:458()
4,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/urls/resolvers.py:75(__getitem__)
1,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/apps/registry.py:150(get_app_config)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader_tags.py:43(__init__)
6,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/context.py:90()
2,0.000,0.000,0.000,0.000,{built-in method __new__ of type object at 0x7cba9af4b980}
4,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/apps/registry.py:129(check_apps_ready)
2,0.000,0.000,0.000,0.000,/home/vance_octane/.pyenv/versions/3.8.12/lib/python3.8/site-packages/django/template/loader_tags.py:32(push)
